,node_1,node_2
908,85,34174
898,85,44277
897,85,42318
896,85,15728
895,85,15016
894,85,8197
893,85,4975
907,85,23932
909,85,45255
72500,42470,10433
72502,42470,36744
917,85,898
916,85,18680
915,85,10063
914,85,12009
913,85,665
72501,42470,12300
72503,42470,6399
910,85,21131
72504,42470,29196
72505,42470,9794
72506,42470,29533
72507,42470,40980
912,85,26414
911,85,22302
891,85,45069
72472,42470,34003
45549,33319,34198
45528,33319,7900
45571,33319,9610
45572,33319,37740
45573,33319,26287
45574,33319,25630
45537,33319,32510
45536,33319,4836
45535,33319,27896
45534,33319,39615
45533,33319,38478
45532,33319,42739
45531,33319,22184
45530,33319,32504
45529,33319,36570
45527,33319,7491
45569,33319,23189
45526,33319,22462
45525,33319,33792
45524,33319,18573
45523,33319,22552
45521,33319,12513
45520,33319,23765
45519,33319,8844
45518,33319,32278
45517,33319,16579
45516,33319,46968
45515,33319,27139
45514,33319,8267
45550,33319,32425
45570,33319,34397
45522,33319,26953
45568,33319,30748
45558,33319,22420
45567,33319,14663
45547,33319,20766
45546,33319,25442
45545,33319,26519
45543,33319,11368
45551,33319,27394
45552,33319,36464
45553,33319,21000
45548,33319,40249
45554,33319,7568
45555,33319,31070
45556,33319,25117
45557,33319,44129
45544,33319,25605
45559,33319,5543
45541,33319,16128
45566,33319,30580
45560,33319,47321
45565,33319,36018
45539,33319,7301
45540,33319,39637
45538,33319,33958
45542,33319,44953
45564,33319,21128
45563,33319,29348
45562,33319,34434
45561,33319,46679
42199,4338,12907
42190,4338,25391
42198,4338,8695
42197,4338,47048
42196,4338,27275
42195,4338,12481
42194,4338,15851
42193,4338,34299
42192,4338,5293
42191,4338,41026
42185,4338,26200
42189,4338,13721
42188,4338,25507
42187,4338,30410
42186,4338,42273
42184,4338,4939
42183,4338,31455
42182,4338,11410
42181,4338,15614
42201,4338,24219
42200,4338,13823
42215,4338,31144
42202,4338,40823
42203,4338,22006
42179,4338,5457
42222,4338,8716
42221,4338,31610
42220,4338,35230
42219,4338,21136
42218,4338,5995
42217,4338,33696
42216,4338,21646
42214,4338,45243
42213,4338,15828
42212,4338,7425
42211,4338,32867
42210,4338,14632
42209,4338,34094
42208,4338,33275
42207,4338,30427
42206,4338,47000
42205,4338,41110
42204,4338,23589
42180,4338,24567
119801,14597,41113
42178,4338,27615
119795,14597,37183
119797,14597,16850
119798,14597,27923
119799,14597,35141
119800,14597,44590
42224,4338,47537
119802,14597,42821
119803,14597,44296
119804,14597,15090
119805,14597,37173
119806,14597,15687
119807,14597,29406
119808,14597,41487
119809,14597,33478
119810,14597,1024
119811,14597,46621
119812,14597,33378
119813,14597,40956
119814,14597,20147
119815,14597,1452
119796,14597,26982
119794,14597,36600
42177,4338,29634
119793,14597,36970
42175,4338,19070
42174,4338,20933
42173,4338,29163
42172,4338,28624
42171,4338,8319
42170,4338,16724
42169,4338,9293
42168,4338,26257
42167,4338,8952
42166,4338,13905
42165,4338,29932
119784,14597,38488
119786,14597,29910
119787,14597,28680
119788,14597,19325
119789,14597,30525
119790,14597,21551
119791,14597,38687
119792,14597,25438
42223,4338,9794
119785,14597,35851
42176,4338,19934
119775,14597,20300
119758,14597,16093
119759,14597,37187
119760,14597,36804
119761,14597,29384
119762,14597,46998
119763,14597,37158
119776,14597,29953
119764,14597,21512
119774,14597,34884
119756,14597,19009
119773,14597,25088
119772,14597,27810
119765,14597,27151
119766,14597,20926
119768,14597,21081
119769,14597,43763
119770,14597,37246
119771,14597,20174
119757,14597,37038
119767,14597,39808
119780,14597,24010
119777,14597,21472
119783,14597,15017
119782,14597,23223
119781,14597,38648
119778,14597,41357
119779,14597,34857
31911,3173,29532
31912,3173,22222
31872,3173,11282
31879,3173,10578
31878,3173,19275
31877,3173,34791
31876,3173,46431
31875,3173,44272
31874,3173,45115
31899,3173,14612
31913,3173,44949
31900,3173,39050
31914,3173,35279
31857,3173,13705
31870,3173,35120
31858,3173,29826
31859,3173,25828
31860,3173,12028
31861,3173,23685
31862,3173,36262
31863,3173,16444
31864,3173,25761
31865,3173,8824
31866,3173,34094
31867,3173,21161
31868,3173,24459
31869,3173,45884
31871,3173,4524
31873,3173,37813
31910,3173,33258
31884,3173,19501
31891,3173,24858
31890,3173,46629
31889,3173,38067
31888,3173,42910
31887,3173,9154
31894,3173,15421
31895,3173,31785
31896,3173,26984
31897,3173,3638
31898,3173,42714
31893,3173,32480
31886,3173,28904
31885,3173,6966
31892,3173,35076
31883,3173,11248
31880,3173,20462
31909,3173,18660
31908,3173,30437
31881,3173,29245
31907,3173,25702
31906,3173,11511
31905,3173,26675
31904,3173,43996
31903,3173,44806
31902,3173,13962
31901,3173,32622
31882,3173,22570
127272,15724,31888
127273,15724,39713
127271,15724,31485
127270,15724,40478
127269,15724,21809
127268,15724,25277
127267,15724,39121
127266,15724,20799
127265,15724,47498
127263,15724,27420
127262,15724,34090
127264,15724,29261
42807,4411,35871
42811,4411,33363
42810,4411,39661
14822,1397,4040
14821,1397,19926
42796,4411,20504
42797,4411,35776
42798,4411,44737
42799,4411,27685
42801,4411,11000
42802,4411,23505
42803,4411,6798
42804,4411,1579
42805,4411,31815
42806,4411,31095
127260,15724,43301
42808,4411,40253
42809,4411,19106
127261,15724,41849
127222,15724,25690
127259,15724,24448
127258,15724,26470
127235,15724,26959
127234,15724,16823
127233,15724,29715
127232,15724,39373
127231,15724,26373
127230,15724,31398
127229,15724,21405
127228,15724,32129
127227,15724,16985
127226,15724,40731
127225,15724,44985
127224,15724,44980
127223,15724,32114
14824,1397,22586
127221,15724,38295
127220,15724,18481
127219,15724,20305
127218,15724,25948
127217,15724,22644
127236,15724,42595
127237,15724,43219
127238,15724,17019
127249,15724,27384
127257,15724,37525
127256,15724,27589
127255,15724,19145
127254,15724,36141
127253,15724,32019
127252,15724,35554
127251,15724,40149
127250,15724,31331
127248,15724,29552
127239,15724,40377
127247,15724,35338
127246,15724,33111
127245,15724,19523
127244,15724,15958
127243,15724,15982
127242,15724,34028
127241,15724,46605
127240,15724,27906
14823,1397,7956
42800,4411,16856
14825,1397,40190
14872,1397,34120
42779,4411,18202
42780,4411,4292
42781,4411,34980
42782,4411,6442
42783,4411,11692
42784,4411,8552
42785,4411,17154
42786,4411,38303
42787,4411,19528
42788,4411,9314
42789,4411,37064
42790,4411,17747
42791,4411,22208
42792,4411,38258
42793,4411,11216
42794,4411,27296
42795,4411,16741
14877,1397,41232
14876,1397,43952
14875,1397,9978
14874,1397,3827
42778,4411,44024
42777,4411,4969
42776,4411,20265
42764,4411,20018
42755,4411,5085
42756,4411,11107
42757,4411,20927
42758,4411,24452
42759,4411,9945
42760,4411,36258
42761,4411,24378
42762,4411,17377
42763,4411,606
14826,1397,42019
42775,4411,38464
42766,4411,10886
42767,4411,35289
42768,4411,2094
42769,4411,18800
42770,4411,24105
42771,4411,33483
42772,4411,5769
42773,4411,17339
42774,4411,45624
14873,1397,4779
42765,4411,14875
14871,1397,27406
14828,1397,27145
14847,1397,46005
14846,1397,28512
14845,1397,22478
14844,1397,9641
14843,1397,38401
14841,1397,27349
14840,1397,45116
14839,1397,7862
14838,1397,26530
14829,1397,17378
14849,1397,23586
14830,1397,28472
14831,1397,47491
14837,1397,12122
14836,1397,22277
14835,1397,39682
14832,1397,44718
14833,1397,11592
14834,1397,12731
14870,1397,5047
14848,1397,7059
14842,1397,19988
14850,1397,6819
14860,1397,6626
14868,1397,31695
14827,1397,16182
14851,1397,23261
14869,1397,25718
14865,1397,39632
14864,1397,26023
14863,1397,5499
14866,1397,35420
14861,1397,41092
14862,1397,39497
14859,1397,5831
14858,1397,43279
14857,1397,40124
14856,1397,3724
14855,1397,16333
14854,1397,46976
14853,1397,31751
14852,1397,6403
14867,1397,23691
54637,5772,47488
54638,5772,7568
54639,5772,10530
54640,5772,47266
54641,5772,40452
54608,5772,44204
54642,5772,12910
54643,5772,36769
54644,5772,7575
54645,5772,46480
54646,5772,27730
54647,5772,37885
54607,5772,44064
54635,5772,45791
54636,5772,12907
54621,5772,30594
54634,5772,32425
54624,5772,8193
54615,5772,10653
54616,5772,16751
54617,5772,7900
54612,5772,28401
54618,5772,20030
54619,5772,18632
54620,5772,33939
54605,5772,6505
54622,5772,40998
54623,5772,39067
54625,5772,39061
54633,5772,32113
54611,5772,40897
54610,5772,22133
54626,5772,34787
54627,5772,40752
54628,5772,31404
54629,5772,18299
54630,5772,45961
54631,5772,40487
54632,5772,20766
54609,5772,31381
54606,5772,20205
116482,14082,16835
54604,5772,21454
116464,14082,44012
116472,14082,25000
116471,14082,23014
116470,14082,31451
116469,14082,44263
116468,14082,20978
116467,14082,16632
116466,14082,28495
116465,14082,40060
116463,14082,34078
54648,5772,33537
116462,14082,15048
116461,14082,34693
116460,14082,14442
54656,5772,6679
54657,5772,32520
54658,5772,26287
54659,5772,28057
116488,14082,46992
116473,14082,19483
116474,14082,13923
116475,14082,30093
116476,14082,40458
54614,5772,33792
54649,5772,21128
54650,5772,35894
54651,5772,7071
54652,5772,35730
54653,5772,21136
54654,5772,9984
54655,5772,30748
116486,14082,17861
116485,14082,27433
116484,14082,38443
116483,14082,14948
116481,14082,25877
116480,14082,19217
116479,14082,16546
116478,14082,21402
116477,14082,28078
54613,5772,22552
116487,14082,35117
116506,14082,31242
116492,14082,32019
116497,14082,40549
116498,14082,20100
116499,14082,26614
116500,14082,43447
116494,14082,14657
116493,14082,44527
116503,14082,22917
116504,14082,24111
116502,14082,40181
116501,14082,26984
116505,14082,32118
116495,14082,283
116496,14082,18497
116491,14082,21251
116490,14082,26436
116489,14082,16375
116507,14082,41426
116508,14082,31937
116509,14082,47440
116510,14082,46210
116511,14082,39368
116512,14082,25542
116513,14082,23502
116514,14082,35232
116515,14082,28201
1501,132,39096
1502,132,40917
1523,132,36100
1507,132,29434
1503,132,3224
1504,132,469
1505,132,6023
1506,132,19616
1499,132,28265
1500,132,2174
1490,132,2910
1498,132,26193
1497,132,41403
1487,132,5059
1522,132,23152
1486,132,24091
1485,132,12145
1484,132,20104
1483,132,23609
1488,132,28444
1489,132,40355
1510,132,40756
1491,132,19168
1492,132,26102
1493,132,23880
1494,132,30899
1495,132,25047
1496,132,24238
1509,132,38059
1508,132,12252
1511,132,9062
1518,132,27302
1525,132,8652
1526,132,33094
1527,132,45341
1528,132,13149
1529,132,5665
1530,132,40536
1531,132,44803
1532,132,2530
1533,132,22455
1535,132,12811
1521,132,25551
1520,132,14900
1519,132,5784
1534,132,23148
1513,132,41009
1524,132,11824
1517,132,27595
1516,132,24168
1512,132,31868
1515,132,28036
1514,132,21125
4512,36164,24500
4506,36164,17834
4507,36164,35628
4508,36164,16946
4509,36164,31617
4510,36164,6465
4511,36164,12128
4515,36164,17404
4513,36164,42192
4514,36164,35341
4516,36164,30144
4520,36164,29413
4519,36164,17538
4518,36164,8210
4517,36164,7153
4504,36164,31798
4505,36164,3258
32814,3278,40099
4503,36164,9667
32813,3278,11008
32826,3278,28214
32827,3278,15055
32828,3278,10425
32829,3278,11709
32830,3278,4508
32831,3278,26795
32832,3278,2996
4522,36164,14984
32817,3278,19201
32815,3278,26179
68002,7416,36347
68001,7416,45526
68000,7416,13393
67999,7416,20743
67998,7416,42820
32816,3278,43322
4521,36164,32294
4552,36164,27308
4523,36164,31545
4546,36164,25997
32819,3278,13473
32820,3278,17376
32821,3278,40544
32822,3278,46201
32823,3278,46271
4548,36164,20736
4549,36164,35162
4550,36164,31702
4551,36164,6597
32834,3278,26487
4553,36164,26378
4554,36164,3973
67957,7416,28844
67958,7416,8808
32824,3278,15381
32825,3278,4520
67959,7416,18566
67960,7416,29475
67961,7416,14340
4547,36164,44291
4545,36164,39851
4524,36164,10835
4544,36164,44550
4525,36164,28599
4526,36164,29597
4527,36164,46992
4528,36164,41426
4529,36164,46025
4530,36164,41263
4531,36164,40576
4532,36164,43018
4533,36164,2391
4534,36164,11188
4535,36164,26110
4536,36164,30615
4537,36164,25884
4538,36164,23887
4539,36164,14143
4540,36164,20914
4541,36164,7112
4542,36164,14948
4543,36164,30887
32833,3278,8280
32818,3278,32401
32835,3278,16369
35130,3525,17824
35129,3525,31880
68004,7416,14144
68005,7416,31398
68006,7416,24519
68007,7416,8945
68008,7416,28102
67976,7416,9394
32836,3278,29587
67977,7416,19541
67978,7416,7737
67979,7416,16921
35131,3525,17354
35132,3525,45933
35133,3525,43025
35128,3525,43692
35127,3525,39311
35126,3525,20540
35125,3525,39543
35124,3525,29186
35123,3525,14303
35122,3525,33641
35121,3525,36182
35120,3525,22991
35119,3525,21946
35118,3525,39619
35117,3525,35283
35116,3525,33705
35115,3525,17667
35114,3525,11511
35113,3525,9728
35112,3525,26307
35134,3525,17115
35135,3525,13101
35136,3525,9506
32858,3278,32310
67989,7416,47367
32864,3278,47211
32863,3278,19570
32862,3278,41937
32861,3278,4468
32860,3278,22165
67990,7416,14358
67991,7416,30533
67992,7416,30790
67993,7416,38000
67994,7416,35905
67995,7416,23152
67996,7416,8844
32859,3278,21135
67988,7416,14431
35137,3525,17026
67997,7416,47115
67987,7416,22981
67986,7416,39360
67985,7416,29183
67984,7416,7951
67983,7416,33724
67982,7416,24554
67981,7416,23669
67980,7416,34040
35142,3525,27817
35141,3525,20287
35140,3525,24723
35139,3525,29101
35138,3525,41684
35111,3525,22007
35110,3525,23577
35109,3525,6755
32855,3278,35265
32853,3278,34352
35108,3525,42899
32852,3278,33964
32851,3278,24252
32850,3278,20866
32849,3278,43369
32848,3278,24558
32847,3278,21789
32846,3278,43586
32845,3278,16602
32844,3278,8109
32843,3278,19796
32842,3278,8703
68003,7416,38698
32841,3278,20668
32839,3278,41985
32838,3278,10043
67968,7416,46050
67967,7416,37435
67966,7416,38883
67965,7416,9710
67964,7416,36662
67963,7416,34804
67962,7416,37642
32837,3278,38399
32854,3278,31708
32840,3278,6119
32856,3278,7881
32857,3278,33372
35093,3525,28891
35094,3525,41849
35095,3525,21672
35096,3525,42949
35097,3525,16605
35098,3525,10621
35099,3525,41835
35100,3525,18922
35101,3525,20064
35102,3525,16490
35103,3525,3714
35104,3525,25949
35105,3525,35811
35106,3525,5336
35107,3525,38292
35092,3525,20921
35091,3525,47131
67975,7416,20847
67973,7416,36859
67972,7416,42365
67971,7416,17024
67970,7416,41809
67969,7416,23292
67974,7416,36448
5981,556,18632
5986,556,35736
5985,556,23459
5983,556,23859
5982,556,41194
5979,556,2669
5975,556,5150
5980,556,41569
5978,556,4127
5977,556,1728
5976,556,30707
5984,556,10293
6012,556,35535
5974,556,44189
6019,556,47380
8167,15324,38271
8168,15324,37038
8169,15324,38567
5973,556,32792
8171,15324,17242
8172,15324,15426
8173,15324,11059
8174,15324,9288
8175,15324,19930
8176,15324,6931
8177,15324,31947
8178,15324,27655
8179,15324,9388
8180,15324,21236
8181,15324,825
8182,15324,4967
8183,15324,37387
8184,15324,33588
8185,15324,11070
8186,15324,28326
8187,15324,13761
8188,15324,22193
8189,15324,13590
8190,15324,34979
8191,15324,41215
8166,15324,41233
6018,556,14967
8193,15324,27497
6017,556,21933
6011,556,43944
6010,556,27468
6009,556,35271
6008,556,31566
6007,556,24218
6006,556,26661
6005,556,47257
6004,556,12102
6003,556,9881
6014,556,26512
6015,556,7478
6002,556,25676
6001,556,21961
6000,556,20693
5999,556,3176
5998,556,16601
5997,556,14568
5996,556,44280
5995,556,17812
5994,556,23919
5993,556,3927
5992,556,29245
5991,556,11595
5990,556,18709
6016,556,44803
8192,15324,14027
8170,15324,3144
8194,15324,18070
8210,15324,35892
5972,556,8406
5971,556,33259
5970,556,13522
5969,556,22537
5987,556,13897
5988,556,12088
5989,556,42033
8195,15324,22290
8216,15324,1301
8215,15324,46742
8214,15324,7839
8213,15324,30260
8212,15324,28983
8211,15324,24679
6013,556,25702
8209,15324,29197
8201,15324,22862
8199,15324,3888
8200,15324,14431
8198,15324,12202
8197,15324,29911
8196,15324,36851
8202,15324,33420
8208,15324,33324
8204,15324,36643
8205,15324,17150
8206,15324,22594
8207,15324,16165
8203,15324,18285
50457,5285,45492
147608,19081,38707
50458,5285,47310
50443,5285,8468
33602,3357,27445
33603,3357,41934
147606,19081,33546
50442,5285,20934
50441,5285,12082
50440,5285,6788
147607,19081,41508
147603,19081,25031
147605,19081,45544
147594,19081,21616
147586,19081,36153
147587,19081,9651
147588,19081,31732
147589,19081,33476
147590,19081,47369
147591,19081,39838
147592,19081,34566
147593,19081,18022
147595,19081,35471
147604,19081,42622
147596,19081,46247
147597,19081,36954
147598,19081,32533
147599,19081,22490
147600,19081,24218
147601,19081,34949
147602,19081,31285
50438,5285,11542
50439,5285,41029
50435,5285,41501
50437,5285,5171
50436,5285,8702
50445,5285,12394
50446,5285,39535
50447,5285,12630
50448,5285,37280
50449,5285,36947
50450,5285,29899
50451,5285,44522
50452,5285,35497
50453,5285,22659
50454,5285,18739
50455,5285,16820
50456,5285,39548
33621,3357,41278
33622,3357,4779
33623,3357,13569
33624,3357,3734
147584,19081,8887
50444,5285,25191
33620,3357,18175
33619,3357,45032
33609,3357,41162
50434,5285,24399
50433,5285,38271
33604,3357,30834
33605,3357,15766
33606,3357,7218
33607,3357,36037
33608,3357,30877
33611,3357,9090
33618,3357,17563
33612,3357,32533
33613,3357,6494
33614,3357,12914
33615,3357,46779
33616,3357,40585
50432,5285,40347
33617,3357,20559
147585,19081,32107
33610,3357,44236
147583,19081,37823
50459,5285,32019
33581,3357,10200
33582,3357,30707
33583,3357,6292
33584,3357,43466
33585,3357,36119
33586,3357,35521
33587,3357,14682
33588,3357,20343
33589,3357,31864
33590,3357,6031
33591,3357,28550
33592,3357,39440
33594,3357,29217
33600,3357,6216
33595,3357,32908
33596,3357,31897
33597,3357,43121
33598,3357,7565
147559,19081,37281
147560,19081,25597
147561,19081,23463
147562,19081,27061
147563,19081,18787
147564,19081,38717
147565,19081,25813
147566,19081,30355
33580,3357,43083
33579,3357,20414
33578,3357,4876
33577,3357,20065
50462,5285,7064
50461,5285,36916
50460,5285,29279
147582,19081,42801
50481,5285,24310
50480,5285,45411
50479,5285,17624
50478,5285,24446
50477,5285,12714
50476,5285,23179
50475,5285,21139
50474,5285,9566
50473,5285,42561
50472,5285,21366
50471,5285,16304
50470,5285,28243
50469,5285,29745
50468,5285,10996
50467,5285,37070
50466,5285,34437
50465,5285,35117
50464,5285,21409
50463,5285,9826
33575,3357,28766
33576,3357,33991
33599,3357,31508
33593,3357,31555
33601,3357,5299
147568,19081,8437
147581,19081,31079
147580,19081,28368
147578,19081,23124
147577,19081,24184
147576,19081,25684
147575,19081,39161
147574,19081,43925
147573,19081,13301
147572,19081,44332
147571,19081,34422
147570,19081,20361
147569,19081,28459
147579,19081,43286
147567,19081,24761
77700,8641,34292
15740,1492,2841
15742,1492,10570
15743,1492,14591
15744,1492,5171
15745,1492,28444
8555,781,42089
8554,781,4056
8553,781,21866
8552,781,35337
8551,781,11502
8550,781,22847
8549,781,32758
8548,781,14831
8547,781,39487
8546,781,24997
15741,1492,2201
15739,1492,21456
8583,781,16045
15738,1492,5470
15737,1492,15795
15736,1492,42023
15735,1492,25319
15734,1492,3393
15733,1492,24048
15732,1492,1953
15731,1492,26440
15730,1492,3524
15729,1492,7894
15728,1492,35963
77688,8641,25183
77689,8641,29528
8585,781,8131
8545,781,16312
8544,781,31144
8543,781,24944
15765,1492,36347
15759,1492,14341
15760,1492,4378
15761,1492,30785
15762,1492,11768
15763,1492,7339
15764,1492,28692
15766,1492,23019
8542,781,39575
15767,1492,45258
15768,1492,46463
15769,1492,27947
15770,1492,47493
15771,1492,9845
15772,1492,9703
15758,1492,24727
15757,1492,38313
15756,1492,42561
15755,1492,25562
15754,1492,7345
15753,1492,8977
15752,1492,32425
15751,1492,20671
15750,1492,24337
15749,1492,21568
15748,1492,19222
15747,1492,44631
15746,1492,39220
8538,781,5001
8539,781,4708
8540,781,8135
8541,781,15365
8584,781,15592
8582,781,13244
77701,8641,13975
77725,8641,12614
77719,8641,21499
77720,8641,46912
77721,8641,3157
77722,8641,30962
77723,8641,36490
77724,8641,38596
77726,8641,14570
77730,8641,12694
77727,8641,31144
77699,8641,34003
77698,8641,32941
77697,8641,17699
77696,8641,18632
77728,8641,16710
77718,8641,31974
77717,8641,47509
77716,8641,36308
77715,8641,12907
77714,8641,35801
77713,8641,46151
77712,8641,15851
77711,8641,37110
77710,8641,30514
77709,8641,20933
77708,8641,12300
77707,8641,36627
77706,8641,12900
77705,8641,42273
77704,8641,43585
77703,8641,8323
77702,8641,15614
77729,8641,32465
77731,8641,12143
8581,781,5797
8574,781,43959
77691,8641,45465
77690,8641,11410
8570,781,44270
8571,781,41378
8572,781,43285
8573,781,2589
15774,1492,9688
8556,781,31948
8575,781,22301
8576,781,5795
8577,781,23381
8578,781,41453
8579,781,34444
8580,781,45345
77692,8641,30436
77693,8641,31899
77694,8641,16962
77695,8641,11899
8569,781,43859
8568,781,3617
8567,781,13954
8566,781,41169
8565,781,40197
8564,781,29091
8563,781,36533
8562,781,20039
8561,781,24910
8560,781,25337
8559,781,37236
8558,781,26350
8557,781,23426
15773,1492,24750
15775,1492,17085
108580,12907,14632
77687,8641,24129
108570,12907,29634
108571,12907,27615
77686,8641,15863
108572,12907,34003
108573,12907,8323
108574,12907,43585
108575,12907,42273
108576,12907,36627
108577,12907,19533
108578,12907,38062
108579,12907,4983
108581,12907,37485
108567,12907,18632
108582,12907,13905
108583,12907,3157
108584,12907,39583
108585,12907,24219
108586,12907,32941
108587,12907,14900
108588,12907,2244
108589,12907,23220
108590,12907,29239
108591,12907,21499
108593,12907,24129
108569,12907,14164
108568,12907,17699
77685,8641,16662
108601,12907,26488
108594,12907,17740
108595,12907,44296
108559,12907,24611
108560,12907,27656
108561,12907,26625
108562,12907,40424
108596,12907,39970
108597,12907,44351
108599,12907,35892
108600,12907,47048
108598,12907,47504
108563,12907,31144
108602,12907,40823
77684,8641,24611
108606,12907,36308
108605,12907,39643
108604,12907,24750
108564,12907,44648
108603,12907,31588
108566,12907,44553
108565,12907,19070
108592,12907,28326
93299,32792,32744
93300,32792,43806
27024,2649,12857
27022,2649,16902
93344,32792,18999
27023,2649,24320
27064,2649,28839
27025,2649,12841
50552,5293,9893
50554,5293,25506
50553,5293,40692
27042,2649,18138
27041,2649,39403
27040,2649,28328
50581,5293,41773
50580,5293,33131
27039,2649,44383
27038,2649,37528
27037,2649,35593
27036,2649,18481
27026,2649,29027
27065,2649,23781
27034,2649,43966
27033,2649,36855
27032,2649,36483
27031,2649,46251
27030,2649,6426
27029,2649,12557
93342,32792,41193
27028,2649,10206
27027,2649,35927
93343,32792,21451
50592,5293,43784
93341,32792,42775
93331,32792,12381
93329,32792,35516
93328,32792,26119
50595,5293,5457
93327,32792,39593
93326,32792,17356
93325,32792,37100
93324,32792,24218
93323,32792,39461
93322,32792,16376
93321,32792,43839
50579,5293,40424
50578,5293,11391
50577,5293,47504
50576,5293,45682
50575,5293,8641
50574,5293,19533
50573,5293,33631
50572,5293,42273
50596,5293,16434
50597,5293,27794
50598,5293,8794
93330,32792,36709
93332,32792,29348
93320,32792,18212
93298,32792,17809
93340,32792,12548
93339,32792,15643
93338,32792,36952
